Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,86.79,86.8,85.92,86.28,60.45,2114500
2017-06-05,86.25,86.3,85.69,85.83,60.13,2284900
2017-06-06,86.09,86.16,85.66,85.81,60.12,2066800
2017-06-07,85.81,86.24,85.58,86.09,60.31,3025100
2017-06-08,86.09,86.09,84.75,85.38,59.82,2571100
2017-06-09,85.1,85.75,84.92,85.72,60.05,2264200
2017-06-12,85.73,86.19,85.08,85.62,59.98,3292600
2017-06-13,85.53,86.05,85.42,85.95,60.22,2421400
2017-06-14,86.44,86.84,86.09,86.32,60.48,2432900
2017-06-15,86.21,86.96,86.08,86.95,60.92,2468100
2017-06-16,87.12,87.49,86.91,87.14,61.05,4996900
2017-06-19,87.31,87.31,86.52,86.89,60.87,2394500
2017-06-20,86.84,87.05,86.67,86.91,60.89,2420400
2017-06-21,86.93,87.14,86.12,86.57,60.65,1735200
2017-06-22,86.4,86.73,86.22,86.28,60.45,2106900
2017-06-23,86.22,86.6,85.86,85.96,60.22,1543000
2017-06-26,86.33,87.05,85.99,86.7,60.74,2834500
2017-06-27,86.36,86.54,85.45,85.7,60.04,2404500
2017-06-28,86.03,86.08,84.86,84.97,59.53,3180700
2017-06-29,84.73,84.73,83.77,84.03,58.87,3859300
2017-06-30,84.15,84.42,83.59,83.59,58.56,3607600
2017-07-03,83.78,83.84,83.16,83.31,58.37,1705900
2017-07-05,83.32,83.49,82.72,83.29,58.35,3530000
2017-07-06,83.1,83.3,82.77,83.21,58.3,2801800
2017-07-07,83.22,83.75,83.09,83.42,58.44,2531400
2017-07-10,83.58,83.82,83.16,83.19,58.28,1833900
2017-07-11,83.37,83.44,82.8,83.18,58.28,2558000
2017-07-12,83.83,84.27,83.71,83.98,58.84,2946600
2017-07-13,83.82,83.98,83.35,83.37,58.41,2175400
2017-07-14,83.85,84.13,83.68,83.84,58.74,1377300
2017-07-17,83.84,84.1,83.6,84.03,58.87,1594100
2017-07-18,84.07,84.28,83.93,84.19,58.98,1653500
2017-07-19,84.27,84.43,83.96,84.35,59.09,1790100
2017-07-20,84.6,84.95,84.24,84.93,59.5,1971700
2017-07-21,84.89,85.23,84.38,85.2,59.69,2494400
2017-07-24,85.24,85.28,84.33,84.55,59.23,2541700
2017-07-25,84.57,84.66,83.69,83.81,58.72,1926900
2017-07-26,83.68,84.46,83.6,84.45,59.16,1702400
2017-07-27,84.2,85.05,84.05,85.05,59.59,2179600
2017-07-28,85.01,85.23,84.58,84.91,59.49,2089800
2017-07-31,84.9,85.33,84.66,85.12,59.63,2435100
2017-08-01,85.15,85.52,85.05,85.17,59.67,2825100
2017-08-02,85.01,85.74,84.65,85.74,60.07,2131600
2017-08-03,86.0,86.52,85.51,86.51,60.61,2915600
